Symbol,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
DDOG,daily,2023-11-07,29134800,2020-09-30,28819000,2020-05-12,24947300,2020-03-10,13106300,2020-03-09,9150100,2020-02-14,8374800,2020-01-06,5563200,2020-01-02,1784200,,,,
LULU,daily,2023-10-17,28064700,2023-03-29,11502000,2022-12-09,9306000,2022-09-02,8780300,2020-09-09,8543100,2020-06-12,7634500,2020-03-20,5338000,2020-03-16,4568200,2020-01-13,4118600,2020-01-08,1883900
ABNB,daily,2023-09-15,74788500,2020-12-10,70447500,,,,,,,,,,,,,,,,
ARM,daily,2023-09-14,130534500,,,,,,,,,,,,,,,,,,
TXN,daily,2023-07-21,17251600,2020-03-18,16413900,2020-03-17,16243500,2020-03-13,16040100,2020-03-12,15158500,2020-02-28,11431100,2020-01-22,8899700,2020-01-21,8631500,2020-01-07,7184100,2020-01-02,4614000
ISRG,daily,2023-07-21,9157600,2022-04-22,6845300,2020-03-18,6621300,2020-01-24,6266400,2020-01-10,3847800,2020-01-07,3515100,2020-01-02,1623000,,,,,,
MDLZ,daily,2023-07-21,22069200,2022-01-21,18880800,2020-01-30,18286100,2020-01-17,9336300,2020-01-13,7528600,2020-01-02,7272900,,,,,,,,
CDNS,daily,2023-06-23,7001700,2021-04-27,6075300,2020-03-12,4756600,2020-02-28,4698200,2020-02-13,3253100,2020-01-31,2452600,2020-01-17,1893500,2020-01-08,1763100,2020-01-07,1664600,2020-01-06,1544700
VRSK,daily,2023-06-16,4248200,2021-02-25,3663200,2021-02-24,3606000,2020-02-28,2168900,2020-01-07,1514700,2020-01-03,876900,2020-01-02,845100,,,,,,
PANW,daily,2023-06-16,109647000,2021-08-24,66796200,2020-02-25,59718600,2020-02-24,17634000,2020-02-21,9018600,2020-02-12,7266000,2020-01-21,6846600,2020-01-07,6769800,2020-01-06,6685200,2020-01-02,5671800
PAYX,daily,2023-05-31,16804900,2021-03-19,7898700,2020-03-17,7262400,2020-03-12,5742900,2020-03-11,4562600,2020-02-28,4052700,2020-02-27,2689700,2020-02-26,2276300,2020-02-20,2253500,2020-01-15,2091000
PEP,daily,2023-05-31,20414600,2020-05-15,20338200,2020-03-18,15250800,2020-03-17,14242300,2020-02-28,14164000,2020-02-27,8605000,2020-02-25,7585800,2020-01-17,6908700,2020-01-07,5718100,2020-01-06,4085100
AVGO,daily,2023-05-30,116912000,2021-03-19,108602000,2020-03-18,98993000,2020-03-13,84714000,2020-03-12,64281000,2020-01-24,55782000,2020-01-09,42397000,2020-01-08,31979000,2020-01-03,22870000,2020-01-02,20329000
MRVL,daily,2023-05-26,94307300,2021-12-03,51023700,2020-10-29,41594500,2020-03-05,30864700,2020-01-16,23666400,2020-01-13,11619100,2020-01-06,10432100,2020-01-03,9732300,2020-01-02,6503200,,
NVDA,daily,2023-05-25,1543911000,2020-09-04,1463684000,2020-05-27,1175892000,2020-02-28,1133252000,2020-02-25,1055496000,2020-02-14,1041924000,2020-02-11,638556000,2020-02-10,529608000,2020-01-27,470536000,2020-01-24,373512000
INTU,daily,2023-05-24,6664400,2022-05-25,5277100,2021-12-01,5184800,2021-03-19,4423200,2020-03-20,3858400,2020-02-25,3430400,2020-01-22,2611200,2020-01-17,2172700,2020-01-13,1697600,2020-01-08,1373900
AXON,daily,2023-05-03,17765900,2020-06-26,7776900,2020-06-01,4979100,2020-05-08,3492100,2020-01-03,2187900,2020-01-02,849400,,,,,,,,
GOOG,daily,2023-02-09,97798600,2022-02-02,89750000,2020-10-30,86582000,2020-06-26,85354000,2020-03-16,85048000,2020-03-12,84534000,2020-02-04,78660000,2020-02-03,60736000,2020-01-31,48344000,2020-01-17,47924000
EA,daily,2023-02-01,14492300,2020-11-06,12151100,2020-03-23,8149000,2020-03-18,7073400,2020-01-31,6995800,2020-01-30,3838500,2020-01-17,3053300,2020-01-06,2934200,2020-01-02,1901000,,
CTSH,daily,2023-01-12,11756000,2021-05-06,10853300,2021-02-04,8771100,2020-10-28,8444500,2020-03-23,8152800,2020-02-07,7927100,2020-02-06,7789900,2020-01-09,4049000,2020-01-06,3017000,2020-01-03,2535700
GEHC,daily,2023-01-04,33338500,2022-12-22,3253200,2022-12-16,2307500,2022-12-15,1318200,,,,,,,,,,,,
TEAM,daily,2022-12-16,17456200,2022-11-04,15573100,2020-01-24,8033700,2020-01-06,3583800,2020-01-02,2062500,,,,,,,,,,
WBD,daily,2022-12-16,158082500,2021-03-26,106071700,2021-01-27,38255100,2020-02-27,17025100,2020-02-25,8349800,2020-01-23,7597700,2020-01-09,6465100,2020-01-08,3674100,2020-01-03,3599600,2020-01-02,3249300
CMCSA,daily,2022-12-16,68862200,2020-03-13,66243400,2020-03-12,63254500,2020-02-28,62186700,2020-01-24,39229300,2020-01-23,37753000,2020-01-17,27667100,2020-01-07,24563700,2020-01-03,20496400,2020-01-02,20170500
GFS,daily,2022-12-16,25953400,2021-10-28,18618900,,,,,,,,,,,,,,,,
BKR,daily,2022-12-16,53992500,2022-09-16,35834500,2021-11-30,31133200,2021-09-17,30925500,2020-02-28,28759000,2020-02-26,11815200,2020-01-21,9750500,2020-01-14,7147100,2020-01-13,6227500,2020-01-08,5871700
CHTR,daily,2022-12-14,5720000,2020-03-18,4954800,2020-03-05,4485300,2020-02-28,3589100,2020-02-27,2609100,2020-01-17,2252900,2020-01-14,1656100,2020-01-02,1378800,,,,
CRWD,daily,2022-11-30,38648000,2020-09-02,32009800,2020-01-06,21725400,2020-01-03,11165600,2020-01-02,4428300,,,,,,,,,,
ASML,daily,2022-11-10,3518000,2020-03-18,3131900,2020-03-12,2779800,2020-03-03,1916300,2020-02-07,1775900,2020-01-28,1636100,2020-01-22,1108600,2020-01-17,743900,2020-01-06,617600,2020-01-02,573600
META,daily,2022-10-27,232316600,2022-02-03,188119900,2020-06-26,76343900,2020-05-20,50162900,2020-01-30,48775500,2020-01-29,33181300,2020-01-06,17058900,2020-01-02,12077100,,,,
LRCX,daily,2022-10-20,58751000,2020-05-01,57151000,2020-01-30,39431000,2020-01-17,19299000,2020-01-14,17319000,2020-01-07,15595000,2020-01-02,15064000,,,,,,
