ticker,timeframe,hv1y_date,hv1y_volume,days_since_hv1y,hv1y_occ_1y,total_hv1y_count,is_hv1y_also_hve,hv1y_to_hve_ratio,all_hv1y_details
KN,weekly,2026-05-24,7118627,0,10,10,False,0.5614723350554087,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(7118627)}, {'date': Timestamp('2026-05-17 00:00:00'), 'volume': np.int64(6726700)}, {'date': Timestamp('2026-04-26 00:00:00'), 'volume': np.int64(6585300)}, {'date': Timestamp('2025-12-21 00:00:00'), 'volume': np.int64(6136900)}, {'date': Timestamp('2025-07-27 00:00:00'), 'volume': np.int64(5366900)}, {'date': Timestamp('2025-06-29 00:00:00'), 'volume': np.int64(3502300)}, {'date': Timestamp('2025-06-22 00:00:00'), 'volume': np.int64(2976400)}, {'date': Timestamp('2025-06-15 00:00:00'), 'volume': np.int64(2653200)}, {'date': Timestamp('2025-06-08 00:00:00'), 'volume': np.int64(2296200)}, {'date': Timestamp('2025-06-01 00:00:00'), 'volume': np.int64(2224500)}]"
VSH,weekly,2026-05-24,56890987,0,9,9,True,1.0,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(56890987)}, {'date': Timestamp('2026-05-17 00:00:00'), 'volume': np.int64(36619900)}, {'date': Timestamp('2026-05-10 00:00:00'), 'volume': np.int64(25526300)}, {'date': Timestamp('2026-02-01 00:00:00'), 'volume': np.int64(20316900)}, {'date': Timestamp('2026-01-25 00:00:00'), 'volume': np.int64(17478500)}, {'date': Timestamp('2025-08-03 00:00:00'), 'volume': np.int64(17250900)}, {'date': Timestamp('2025-06-22 00:00:00'), 'volume': np.int64(10277400)}, {'date': Timestamp('2025-06-08 00:00:00'), 'volume': np.int64(7323900)}, {'date': Timestamp('2025-06-01 00:00:00'), 'volume': np.int64(5741300)}]"
IPAR,weekly,2026-05-24,2298630,0,10,10,False,0.6528158814006987,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(2298630)}, {'date': Timestamp('2025-09-14 00:00:00'), 'volume': np.int64(2108100)}, {'date': Timestamp('2025-09-07 00:00:00'), 'volume': np.int64(1515400)}, {'date': Timestamp('2025-08-17 00:00:00'), 'volume': np.int64(1449900)}, {'date': Timestamp('2025-08-03 00:00:00'), 'volume': np.int64(1418500)}, {'date': Timestamp('2025-07-27 00:00:00'), 'volume': np.int64(1359100)}, {'date': Timestamp('2025-07-20 00:00:00'), 'volume': np.int64(1311100)}, {'date': Timestamp('2025-06-22 00:00:00'), 'volume': np.int64(1004500)}, {'date': Timestamp('2025-06-15 00:00:00'), 'volume': np.int64(960100)}, {'date': Timestamp('2025-06-01 00:00:00'), 'volume': np.int64(799000)}]"
STN,weekly,2026-05-24,3579863,0,10,10,True,1.0,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(3579863)}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': np.int64(3497400)}, {'date': Timestamp('2025-12-21 00:00:00'), 'volume': np.int64(2327600)}, {'date': Timestamp('2025-11-23 00:00:00'), 'volume': np.int64(1766600)}, {'date': Timestamp('2025-08-17 00:00:00'), 'volume': np.int64(1616500)}, {'date': Timestamp('2025-08-03 00:00:00'), 'volume': np.int64(1038100)}, {'date': Timestamp('2025-06-29 00:00:00'), 'volume': np.int64(1009700)}, {'date': Timestamp('2025-06-15 00:00:00'), 'volume': np.int64(800600)}, {'date': Timestamp('2025-06-08 00:00:00'), 'volume': np.int64(732300)}, {'date': Timestamp('2025-06-01 00:00:00'), 'volume': np.int64(728400)}]"
AKAM,weekly,2026-05-24,97104171,0,11,11,True,1.0,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(97104171)}, {'date': Timestamp('2026-05-10 00:00:00'), 'volume': np.int64(49811100)}, {'date': Timestamp('2026-04-12 00:00:00'), 'volume': np.int64(32921400)}, {'date': Timestamp('2026-02-22 00:00:00'), 'volume': np.int64(31364600)}, {'date': Timestamp('2025-11-23 00:00:00'), 'volume': np.int64(27457800)}, {'date': Timestamp('2025-11-09 00:00:00'), 'volume': np.int64(22676800)}, {'date': Timestamp('2025-11-02 00:00:00'), 'volume': np.int64(20938900)}, {'date': Timestamp('2025-08-03 00:00:00'), 'volume': np.int64(15837300)}, {'date': Timestamp('2025-06-15 00:00:00'), 'volume': np.int64(15125100)}, {'date': Timestamp('2025-06-08 00:00:00'), 'volume': np.int64(11031900)}, {'date': Timestamp('2025-06-01 00:00:00'), 'volume': np.int64(9274000)}]"
SITE,weekly,2026-05-24,7543448,0,7,7,True,1.0,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(7543448)}, {'date': Timestamp('2026-05-03 00:00:00'), 'volume': np.int64(7466900)}, {'date': Timestamp('2026-01-18 00:00:00'), 'volume': np.int64(4963900)}, {'date': Timestamp('2025-08-03 00:00:00'), 'volume': np.int64(4962400)}, {'date': Timestamp('2025-07-27 00:00:00'), 'volume': np.int64(4148300)}, {'date': Timestamp('2025-06-08 00:00:00'), 'volume': np.int64(2583700)}, {'date': Timestamp('2025-06-01 00:00:00'), 'volume': np.int64(1638300)}]"
BDC,weekly,2026-05-24,4312339,0,8,8,True,1.0,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(4312339)}, {'date': Timestamp('2026-05-10 00:00:00'), 'volume': np.int64(3596500)}, {'date': Timestamp('2026-05-03 00:00:00'), 'volume': np.int64(3347100)}, {'date': Timestamp('2025-07-27 00:00:00'), 'volume': np.int64(2389900)}, {'date': Timestamp('2025-07-13 00:00:00'), 'volume': np.int64(1976700)}, {'date': Timestamp('2025-06-22 00:00:00'), 'volume': np.int64(1839200)}, {'date': Timestamp('2025-06-08 00:00:00'), 'volume': np.int64(1211700)}, {'date': Timestamp('2025-06-01 00:00:00'), 'volume': np.int64(1078300)}]"
GWRS,weekly,2026-05-24,1180847,0,9,9,True,1.0,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(1180847)}, {'date': Timestamp('2026-03-22 00:00:00'), 'volume': np.int64(976400)}, {'date': Timestamp('2025-10-12 00:00:00'), 'volume': np.int64(934500)}, {'date': Timestamp('2025-08-03 00:00:00'), 'volume': np.int64(438500)}, {'date': Timestamp('2025-07-20 00:00:00'), 'volume': np.int64(349500)}, {'date': Timestamp('2025-06-29 00:00:00'), 'volume': np.int64(295500)}, {'date': Timestamp('2025-06-22 00:00:00'), 'volume': np.int64(272100)}, {'date': Timestamp('2025-06-15 00:00:00'), 'volume': np.int64(262900)}, {'date': Timestamp('2025-06-01 00:00:00'), 'volume': np.int64(167700)}]"
MCFT,weekly,2026-05-24,2377841,0,5,5,False,0.529633152173913,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(2377841)}, {'date': Timestamp('2025-08-31 00:00:00'), 'volume': np.int64(1765500)}, {'date': Timestamp('2025-06-15 00:00:00'), 'volume': np.int64(730900)}, {'date': Timestamp('2025-06-08 00:00:00'), 'volume': np.int64(520700)}, {'date': Timestamp('2025-06-01 00:00:00'), 'volume': np.int64(228100)}]"
LI,weekly,2026-05-24,59855514,0,7,7,False,0.20196328014838294,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(59855514)}, {'date': Timestamp('2025-08-31 00:00:00'), 'volume': np.int64(48141000)}, {'date': Timestamp('2025-08-03 00:00:00'), 'volume': np.int64(43787800)}, {'date': Timestamp('2025-07-13 00:00:00'), 'volume': np.int64(28425600)}, {'date': Timestamp('2025-06-29 00:00:00'), 'volume': np.int64(23118400)}, {'date': Timestamp('2025-06-08 00:00:00'), 'volume': np.int64(21303000)}, {'date': Timestamp('2025-06-01 00:00:00'), 'volume': np.int64(19209200)}]"
