Symbol,market_cap,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
MATW,850266450.066439,monthly,2026-08-01,9533242,2020-07-01,7250200.0,2020-06-01,6461100.0,2020-03-01,5720000.0,2020-02-01,2450900.0,,,,,,,,,,
CCB,1177970457.9621162,monthly,2026-08-01,4228298,2026-03-01,3435800.0,2025-03-01,3114900.0,2024-12-01,2894000.0,2023-03-01,2114600.0,2022-11-01,1290000.0,2022-08-01,1226700.0,2021-12-01,1213100.0,2021-03-01,830800.0,2020-03-01,630600.0
TCI,430669929.4515123,monthly,2026-08-01,728277,2021-06-01,275300.0,2021-05-01,193200.0,2020-06-01,94900.0,2020-03-01,64700.0,2020-02-01,18700.0,,,,,,,,
RDVT,850485779.7317681,monthly,2026-08-01,4280101,2025-05-01,3765200.0,2020-03-01,3186300.0,2020-02-01,1211500.0,,,,,,,,,,,,
AHCO,1399997303.1137724,monthly,2026-08-01,71372226,2022-08-01,67473900.0,2022-05-01,33618500.0,2021-03-01,33321600.0,2021-01-01,21755300.0,2020-12-01,16761600.0,2020-09-01,11418500.0,2020-07-01,8140500.0,2020-06-01,4322500.0,2020-03-01,2516900.0
AMSF,631252289.3496703,monthly,2026-08-01,5306959,2026-03-01,5219500.0,2025-12-01,3806600.0,2024-03-01,3796800.0,2020-03-01,2977600.0,2020-02-01,1946900.0,,,,,,,,
TCBK,1720299839.9529412,monthly,2026-07-01,4418711,2022-06-01,4168500.0,2020-03-01,3532300.0,2020-02-01,1069500.0,,,,,,,,,,,,
FAC,1221670282.9381256,monthly,2026-06-01,13011000,2025-12-01,10025300.0,2025-08-01,2367200.0,2025-07-01,1718500.0,2025-06-01,859600.0,,,,,,,,,,
CUB,314375314.0,monthly,2026-06-01,4798848,2024-08-01,4385100.0,,,,,,,,,,,,,,,,
VIA,1421051747.437866,monthly,2026-06-01,29095200,2026-03-01,23070000.0,2025-12-01,14663500.0,2025-09-01,11689200.0,,,,,,,,,,,,
ONT,724230090.2078065,monthly,2026-06-01,16440000,2026-05-01,15690600.0,2024-11-01,15448900.0,2024-10-01,15170200.0,2024-09-01,12379800.0,2024-07-01,11613300.0,2023-03-01,9116300.0,2021-09-01,7720100.0,2020-07-01,7426000.0,,
BBCP,584059774.6223959,monthly,2026-06-01,10671747,2020-04-01,5634800.0,2020-03-01,3711300.0,2020-02-01,918900.0,,,,,,,,,,,,
SILA,1674357656.1120262,monthly,2026-04-01,23757800,2024-09-01,23687400.0,2024-08-01,16957800.0,2024-07-01,14864600.0,2024-06-01,14560000.0,,,,,,,,,,
FVCB,315663778.6697513,monthly,2026-05-01,3644460,2022-06-01,3494375.0,2021-06-01,3317375.0,2020-03-01,1166375.0,2020-02-01,833750.0,,,,,,,,,,
AURA,724054930.6122448,monthly,2026-05-01,15181989,2025-03-01,8042700.0,2023-11-01,7776800.0,2022-06-01,4649100.0,2021-11-01,3928700.0,2021-10-01,1573600.0,,,,,,,,
ATII,320163812.9640553,monthly,2026-05-01,5957838,2026-04-01,5701100.0,2025-04-01,5138900.0,,,,,,,,,,,,,,
AORT,1146108491.4161518,monthly,2026-05-01,16083860,2025-08-01,12893900.0,2020-06-01,12130600.0,2020-03-01,9114000.0,2020-02-01,5439200.0,,,,,,,,,,
PAHC,1285495837.814012,monthly,2026-05-01,8212977,2025-09-01,7331100.0,2025-07-01,7046400.0,2025-02-01,6221600.0,2023-12-01,5540200.0,2020-03-01,4972000.0,2020-02-01,3660400.0,,,,,,
WEST,916069205.9907502,monthly,2026-05-01,18769785,2022-08-01,14420400.0,2022-04-01,6664200.0,2021-11-01,2067200.0,2021-10-01,837600.0,,,,,,,,,,
WEN,1485748950.286494,monthly,2026-05-01,235264296,2021-06-01,194116100.0,2020-03-01,162308200.0,2020-02-01,61127000.0,,,,,,,,,,,,
BRBR,1343009264.3415277,monthly,2026-05-01,99185808,2025-08-01,95488800.0,2025-05-01,57357200.0,2022-03-01,51923900.0,2021-12-01,22032000.0,2020-03-01,12251300.0,2020-02-01,7998400.0,,,,,,
MEI,679639794.4444444,monthly,2026-05-01,24103934,2024-06-01,21855100.0,2024-03-01,20340500.0,2023-09-01,9064100.0,2023-06-01,8669200.0,2020-03-01,6699100.0,2020-02-01,3355600.0,,,,,,
XRN,539566417.2001662,monthly,2026-05-01,4755900,2025-09-01,4701640.0,2022-10-01,4319740.0,2021-03-01,3541660.0,2020-03-01,2776360.0,2020-02-01,1199700.0,,,,,,,,
ERII,454629169.7201365,monthly,2026-05-01,24515014,2026-03-01,21141300.0,2024-11-01,14469200.0,2023-10-01,13719700.0,2022-11-01,12377600.0,2021-03-01,12242500.0,2020-03-01,8160700.0,2020-02-01,3313400.0,,,,
FLO,1689586103.923684,monthly,2026-05-01,157869726,2026-03-01,124445900.0,2025-09-01,104793400.0,2025-05-01,61924800.0,2023-01-01,56119300.0,2020-03-01,49436100.0,2020-02-01,32403900.0,,,,,,
SIBN,768573055.6951072,monthly,2026-05-01,14879254,2023-05-01,14592000.0,2021-08-01,11525900.0,2021-03-01,9571300.0,2020-03-01,8493200.0,2020-02-01,3197600.0,,,,,,,,
CEVA,1179008519.9371226,monthly,2026-05-01,15481988,2025-12-01,13907700.0,2025-11-01,13708100.0,2021-01-01,8246100.0,2020-06-01,4283700.0,2020-03-01,3860700.0,2020-02-01,2708100.0,,,,,,
NXG,336290899.1,monthly,2026-05-01,1983810,2026-03-01,1611900.0,2025-07-01,1276500.0,2025-03-01,1176300.0,2024-12-01,962400.0,2024-06-01,873100.0,2020-06-01,834700.0,2020-03-01,788500.0,2020-02-01,353125.0,,
BRCB,406953700.1675901,monthly,2026-05-01,17867400,2025-09-01,14606200.0,,,,,,,,,,,,,,,,
VACI,320158536.6699315,monthly,2026-05-01,6922300,2026-04-01,5532100.0,2026-01-01,1117000.0,2025-12-01,795800.0,2025-11-01,57900.0,,,,,,,,,,
TBRG,392977366.722689,monthly,2026-04-01,9797400,2023-09-01,9535700.0,2021-11-01,3365300.0,2020-03-01,2819700.0,2020-02-01,2569300.0,,,,,,,,,,
WSR,1947590315.7708547,monthly,2026-04-01,15614600,2023-03-01,14041600.0,2022-02-01,13838900.0,2021-09-01,13414800.0,2021-06-01,12912400.0,2020-05-01,11882100.0,2020-03-01,11625300.0,2020-02-01,4687300.0,,,,
AVNS,1168853002.7871487,monthly,2026-04-01,49580400,2021-05-01,18429800.0,2020-03-01,11281400.0,2020-02-01,7370900.0,,,,,,,,,,,,
CTBI,1314326824.3870063,monthly,2026-04-01,2203600,2026-03-01,2075000.0,2024-07-01,1753300.0,2023-03-01,1689600.0,2021-03-01,1650400.0,2021-01-01,1559800.0,2020-03-01,1484100.0,2020-02-01,587100.0,,,,
ICFI,1294629880.1690986,monthly,2026-04-01,8601800,2025-02-01,7612800.0,2024-11-01,5190700.0,2020-03-01,4367500.0,2020-02-01,2067900.0,,,,,,,,,,
ATEX,1748428003.0596294,monthly,2026-04-01,7042000,2024-09-01,6677300.0,2023-09-01,5803700.0,2020-12-01,5612100.0,2020-05-01,4261900.0,2020-04-01,3627700.0,2020-03-01,3080000.0,2020-02-01,2053800.0,,,,
PLBC,410005134.005943,monthly,2026-04-01,1305900,2021-06-01,1055000.0,2020-06-01,938000.0,2020-03-01,264800.0,2020-02-01,120700.0,,,,,,,,,,
COSO,326702397.9049035,monthly,2026-04-01,2348900,2026-03-01,2230700.0,2026-01-01,1636900.0,2025-12-01,1635600.0,2025-09-01,1582400.0,2025-07-01,861600.0,2025-06-01,10100.0,2025-05-01,6800.0,,,,
LYTS,975081378.6865672,monthly,2026-04-01,8879300,2021-06-01,8289300.0,2020-06-01,5996900.0,2020-04-01,4610700.0,2020-02-01,3009500.0,,,,,,,,,,
UVSP,1236353609.8620057,monthly,2026-04-01,4623000,2026-03-01,4252900.0,2025-12-01,3847600.0,2020-03-01,3723100.0,2020-02-01,2105200.0,,,,,,,,,,
FSUN,1690385714.2682445,monthly,2026-04-01,6645100,2026-03-01,3992100.0,2025-10-01,3973300.0,2025-06-01,3698500.0,2025-03-01,2485400.0,2024-12-01,1861100.0,2024-09-01,1680200.0,2024-01-01,573800.0,2023-01-01,295100.0,2022-09-01,250700.0
GSBC,861107649.1935484,monthly,2026-04-01,1961700,2025-07-01,1693400.0,2020-03-01,1500600.0,2020-02-01,552200.0,,,,,,,,,,,,
OCSL,1029719779.822086,monthly,2026-04-01,24260200,2024-12-01,23640600.0,2024-02-01,18818800.0,2020-03-01,15922098.0,2020-02-01,5312268.0,,,,,,,,,,
KRSP,483027288.9155471,monthly,2026-04-01,1294900,2026-02-01,911200.0,2026-01-01,809500.0,2025-12-01,216500.0,2025-11-01,73800.0,,,,,,,,,,
TWN,555596456.8000001,monthly,2026-04-01,741700,2024-12-01,738100.0,2024-02-01,534100.0,2023-08-01,443900.0,2022-10-01,439300.0,2021-11-01,347900.0,2020-12-01,333400.0,2020-03-01,284200.0,2020-02-01,241400.0,,
SFST,578939732.5743891,monthly,2026-04-01,3549200,2026-03-01,2256100.0,2023-05-01,1398700.0,2023-03-01,996800.0,2021-03-01,961100.0,2020-03-01,914500.0,2020-02-01,522700.0,,,,,,
BBOT,592792555.396619,monthly,2026-04-01,10611900,2025-09-01,8369800.0,2024-02-01,5394800.0,,,,,,,,,,,,,,
QDEL,940353843.0813608,monthly,2026-04-01,58565600,2025-05-01,40039200.0,2024-07-01,36452500.0,2020-06-01,35031400.0,2020-05-01,25807100.0,2020-03-01,16128400.0,2020-02-01,4373700.0,,,,,,
AVO,1082800798.6953585,monthly,2026-04-01,23015100,2026-01-01,20520500.0,2025-09-01,14288600.0,2025-06-01,11236800.0,2024-09-01,10822800.0,2021-06-01,9302300.0,2020-10-01,6642500.0,,,,,,
NWPX,1426373559.086681,monthly,2026-04-01,2893600,2026-03-01,2861400.0,2020-03-01,2030000.0,2020-02-01,1080300.0,,,,,,,,,,,,
SPFI,832265890.9750291,monthly,2026-04-01,2409300,2026-03-01,2370800.0,2022-08-01,1581600.0,2021-12-01,874600.0,2021-03-01,797700.0,2020-03-01,581800.0,2020-02-01,311300.0,,,,,,
