ticker,timeframe,hvd_date,hvd_volume,days_since_hvd,hvd_count,all_hvd_details,latest_date,latest_volume,latest_close,volume_ratio,data_points
INTC,monthly,2025-08-31,2840289900,30,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 2840289900}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 1842370800}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 1397631200}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 2422926400}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 1473128300}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 1435238600}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 1274330900}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 2013019200}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 1187303500}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 1262774700}]",2025-09-30,541505699,35.5,0.19065155954679133,15
INTU,monthly,2025-08-31,44936700,30,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 44936700}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 31879800}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 41024500}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 39257700}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 34070300}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 37265600}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 27997600}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 30778300}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 32911100}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 27565800}]",2025-09-30,12178780,698.260009765625,0.27102079146888847,15
FTNT,monthly,2025-08-31,237217300,30,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 237217300}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 121349400}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 117166500}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 120499200}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 132981200}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 104020100}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 152402800}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 96688200}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 149686500}, {'date': Timestamp('2024-01-31 00:00:00'), 'volume': 136297000}]",2025-09-30,44145645,84.31999969482422,0.18609791528695419,15
VRSK,monthly,2025-08-31,22985800,30,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 22985800}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 22699300}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 16796000}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 21957000}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 16505500}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 20005200}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 20292300}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': 19880000}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 17008500}, {'date': Timestamp('2024-01-31 00:00:00'), 'volume': 16284800}]",2025-09-30,7386642,247.07000732421875,0.32135675068955616,15
CSX,monthly,2025-08-31,506110300,30,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 506110300}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 429199400}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 307709800}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 383918900}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 317341100}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 281504800}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 246178600}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 318888000}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 244576500}, {'date': Timestamp('2024-01-31 00:00:00'), 'volume': 254434700}]",2025-09-30,88134518,34.0099983215332,0.17414092935867934,15
KDP,monthly,2025-08-31,313239100,30,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 313239100}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 233892200}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 286146100}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 295516300}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 209661300}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 298101300}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 191802600}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 197751200}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': 291714200}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 218905500}]",2025-09-30,190675482,25.5,0.608721842196584,15
GFS,monthly,2025-08-31,62083500,30,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 62083500}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 35205100}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 33000900}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 47363800}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 30767100}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 48011300}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 33261100}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 35092900}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 45830300}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 43182200}]",2025-09-30,19775690,35.59000015258789,0.3185337489026875,15
WDAY,monthly,2025-08-31,84838700,30,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 84838700}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 50688400}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 50126600}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 52892800}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 39744800}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 52863400}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 57554300}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 39183900}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 80737000}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': 48843100}]",2025-09-30,22204852,246.6699981689453,0.26173022453196476,15
TEAM,monthly,2025-08-31,64621600,30,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 64621600}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 44151800}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 51912100}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 52685300}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 43755000}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 53683700}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 42763700}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 52488400}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 41392800}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 40376300}]",2025-09-30,13872149,166.64999389648438,0.21466737128142913,15
ROP,monthly,2025-08-31,15305500,30,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 15305500}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 14101400}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 11182000}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 14948200}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 14130000}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 10600300}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 12024500}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 12465300}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 12432700}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 10649300}]",2025-09-30,4745415,499.30999755859375,0.3100463885531345,15
TRI,monthly,2025-07-31,51829700,61,10,"[{'date': Timestamp('2025-09-30 00:00:00'), 'volume': 6471575}, {'date': Timestamp('2025-08-31 00:00:00'), 'volume': 29294300}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 51829700}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 12585900}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 16570400}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 6848500}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 8861800}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 11998100}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 9572500}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 7200600}]",2025-09-30,6471575,157.02000427246094,0.12486228938234256,15
KHC,monthly,2025-07-31,395661700,61,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 246133900}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 395661700}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 234956200}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 235296600}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 180216200}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 205581600}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 166955000}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 171511900}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 173397400}, {'date': Timestamp('2024-01-31 00:00:00'), 'volume': 176163200}]",2025-09-30,122907913,26.049999237060547,0.31063889428772107,15
CPRT,monthly,2025-07-31,153334100,61,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 116440400}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 153334100}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 137771900}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 118469900}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 96754600}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 93491500}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 92245900}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 90999600}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': 107522700}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 98266000}]",2025-09-30,63493908,44.869998931884766,0.41408863390465656,15
SNPS,monthly,2025-07-31,53414400,61,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 21980600}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 53414400}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 29031200}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 30479200}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 22356000}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 21912800}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 25198600}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': 20583000}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 24184800}, {'date': Timestamp('2024-01-31 00:00:00'), 'volume': 36300000}]",2025-09-30,14953240,487.760009765625,0.27994772945123414,15
PEP,monthly,2025-07-31,214128100,61,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 161775300}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 214128100}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 177474400}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 188325000}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 131454200}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 120685000}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 121800200}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 119479900}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': 128190900}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 124352600}]",2025-09-30,65159066,140.44000244140625,0.30429946373222383,15
ROST,monthly,2025-05-31,75258500,122,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 69190000}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 55546400}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 75258500}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 70380100}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 68080000}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 49777100}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 49459000}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 66728700}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 47504600}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': 49001800}]",2025-09-30,17604065,151.52000427246094,0.23391464087113084,15
