ticker,market_cap,timeframe,hvd_date,hvd_volume,days_since_hvd,hvd_count,all_hvd_details,latest_date,latest_volume,latest_close,volume_ratio,data_points
BELFA,4291331386.026283,monthly,2026-08-01,2203887.0,0,20,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 2203887.0}, {'date': Timestamp('2026-07-01 00:00:00'), 'volume': 1264987.0}, {'date': Timestamp('2026-06-01 00:00:00'), 'volume': 755644.0}, {'date': Timestamp('2026-05-01 00:00:00'), 'volume': 908951.0}, {'date': Timestamp('2026-04-01 00:00:00'), 'volume': 1708300.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 1558400.0}, {'date': Timestamp('2026-02-01 00:00:00'), 'volume': 406400.0}, {'date': Timestamp('2026-01-01 00:00:00'), 'volume': 1335300.0}, {'date': Timestamp('2025-12-01 00:00:00'), 'volume': 577000.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 538900.0}, {'date': Timestamp('2025-10-01 00:00:00'), 'volume': 271600.0}, {'date': Timestamp('2025-06-01 00:00:00'), 'volume': 286500.0}, {'date': Timestamp('2025-01-01 00:00:00'), 'volume': 232200.0}, {'date': Timestamp('2024-11-01 00:00:00'), 'volume': 269600.0}, {'date': Timestamp('2024-10-01 00:00:00'), 'volume': 251800.0}, {'date': Timestamp('2024-09-01 00:00:00'), 'volume': 322100.0}, {'date': Timestamp('2024-08-01 00:00:00'), 'volume': 223400.0}, {'date': Timestamp('2024-07-01 00:00:00'), 'volume': 383000.0}, {'date': Timestamp('2024-06-01 00:00:00'), 'volume': 517700.0}, {'date': Timestamp('2024-05-01 00:00:00'), 'volume': 272700.0}]",2026-08-01,2203887.0,242.88999938964844,1.0,81
CAI,5229593062.780748,monthly,2026-08-01,63832908.0,0,17,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 63832908.0}, {'date': Timestamp('2026-07-31 00:00:00'), 'volume': 3511207.0}, {'date': Timestamp('2026-07-17 00:00:00'), 'volume': 3294597.0}, {'date': Timestamp('2026-07-01 00:00:00'), 'volume': 25000222.0}, {'date': Timestamp('2026-06-01 00:00:00'), 'volume': 16612079.0}, {'date': Timestamp('2026-05-01 00:00:00'), 'volume': 54739355.0}, {'date': Timestamp('2026-04-01 00:00:00'), 'volume': 36716900.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 60025600.0}, {'date': Timestamp('2026-02-01 00:00:00'), 'volume': 18779100.0}, {'date': Timestamp('2026-01-01 00:00:00'), 'volume': 53072700.0}, {'date': Timestamp('2025-12-01 00:00:00'), 'volume': 56194600.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 32852700.0}, {'date': Timestamp('2025-10-01 00:00:00'), 'volume': 15652600.0}, {'date': Timestamp('2025-09-01 00:00:00'), 'volume': 14835600.0}, {'date': Timestamp('2025-08-01 00:00:00'), 'volume': 14863500.0}, {'date': Timestamp('2025-07-01 00:00:00'), 'volume': 12294400.0}, {'date': Timestamp('2025-06-01 00:00:00'), 'volume': 27860600.0}]",2026-08-01,63832908.0,21.799999237060547,1.0,17
CLBT,3432291945.425178,monthly,2026-08-01,62376265.0,0,20,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 62376265.0}, {'date': Timestamp('2026-05-01 00:00:00'), 'volume': 40310583.0}, {'date': Timestamp('2026-04-01 00:00:00'), 'volume': 34098400.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 37802200.0}, {'date': Timestamp('2026-01-01 00:00:00'), 'volume': 28218400.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 28397000.0}, {'date': Timestamp('2025-10-01 00:00:00'), 'volume': 28220300.0}, {'date': Timestamp('2025-09-01 00:00:00'), 'volume': 39347100.0}, {'date': Timestamp('2025-08-01 00:00:00'), 'volume': 50180700.0}, {'date': Timestamp('2025-07-01 00:00:00'), 'volume': 32798800.0}, {'date': Timestamp('2025-06-01 00:00:00'), 'volume': 30841300.0}, {'date': Timestamp('2025-05-01 00:00:00'), 'volume': 29991000.0}, {'date': Timestamp('2025-03-01 00:00:00'), 'volume': 27956700.0}, {'date': Timestamp('2025-02-01 00:00:00'), 'volume': 54578900.0}, {'date': Timestamp('2025-01-01 00:00:00'), 'volume': 30753500.0}, {'date': Timestamp('2024-11-01 00:00:00'), 'volume': 37024700.0}, {'date': Timestamp('2024-10-01 00:00:00'), 'volume': 26332300.0}, {'date': Timestamp('2024-08-01 00:00:00'), 'volume': 38014500.0}, {'date': Timestamp('2024-07-01 00:00:00'), 'volume': 33143000.0}, {'date': Timestamp('2024-06-01 00:00:00'), 'volume': 26012600.0}]",2026-08-01,62376265.0,11.140000343322754,1.0,72
CHYM,7742308911.675972,monthly,2026-08-01,129322562.0,0,17,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 129322562.0}, {'date': Timestamp('2026-07-31 00:00:00'), 'volume': 7283940.0}, {'date': Timestamp('2026-07-17 00:00:00'), 'volume': 7594655.0}, {'date': Timestamp('2026-07-01 00:00:00'), 'volume': 33985607.0}, {'date': Timestamp('2026-06-01 00:00:00'), 'volume': 21864485.0}, {'date': Timestamp('2026-05-01 00:00:00'), 'volume': 98582214.0}, {'date': Timestamp('2026-04-01 00:00:00'), 'volume': 70061800.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 120353300.0}, {'date': Timestamp('2026-02-01 00:00:00'), 'volume': 25957800.0}, {'date': Timestamp('2026-01-01 00:00:00'), 'volume': 59150200.0}, {'date': Timestamp('2025-12-01 00:00:00'), 'volume': 84721200.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 97837100.0}, {'date': Timestamp('2025-10-01 00:00:00'), 'volume': 61762800.0}, {'date': Timestamp('2025-09-01 00:00:00'), 'volume': 69168200.0}, {'date': Timestamp('2025-08-01 00:00:00'), 'volume': 49762000.0}, {'date': Timestamp('2025-07-01 00:00:00'), 'volume': 53723000.0}, {'date': Timestamp('2025-06-01 00:00:00'), 'volume': 94703900.0}]",2026-08-01,129322562.0,32.02000045776367,1.0,17
DOCS,3818368359.29471,monthly,2026-08-01,131758626.0,0,20,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 131758626.0}, {'date': Timestamp('2026-05-01 00:00:00'), 'volume': 95960201.0}, {'date': Timestamp('2026-04-01 00:00:00'), 'volume': 64634100.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 58377300.0}, {'date': Timestamp('2026-02-01 00:00:00'), 'volume': 63557400.0}, {'date': Timestamp('2026-01-01 00:00:00'), 'volume': 53538900.0}, {'date': Timestamp('2025-12-01 00:00:00'), 'volume': 62546300.0}, {'date': Timestamp('2025-05-01 00:00:00'), 'volume': 71069400.0}, {'date': Timestamp('2025-03-01 00:00:00'), 'volume': 52369100.0}, {'date': Timestamp('2025-02-01 00:00:00'), 'volume': 67117300.0}, {'date': Timestamp('2024-11-01 00:00:00'), 'volume': 54941500.0}, {'date': Timestamp('2023-09-01 00:00:00'), 'volume': 53259700.0}, {'date': Timestamp('2023-08-01 00:00:00'), 'volume': 64215700.0}, {'date': Timestamp('2023-06-01 00:00:00'), 'volume': 59240500.0}, {'date': Timestamp('2022-11-01 00:00:00'), 'volume': 65437700.0}, {'date': Timestamp('2022-05-01 00:00:00'), 'volume': 76523700.0}, {'date': Timestamp('2022-03-01 00:00:00'), 'volume': 56803900.0}, {'date': Timestamp('2022-02-01 00:00:00'), 'volume': 54059500.0}, {'date': Timestamp('2021-12-01 00:00:00'), 'volume': 57404200.0}, {'date': Timestamp('2021-11-01 00:00:00'), 'volume': 73790000.0}]",2026-08-01,131758626.0,24.799999237060547,1.0,65
CLBK,2170654777.113546,monthly,2026-08-01,66127939.0,0,20,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 66127939.0}, {'date': Timestamp('2026-07-31 00:00:00'), 'volume': 4924816.0}, {'date': Timestamp('2026-07-17 00:00:00'), 'volume': 7387353.0}, {'date': Timestamp('2026-05-01 00:00:00'), 'volume': 6574170.0}, {'date': Timestamp('2026-04-01 00:00:00'), 'volume': 4939000.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 6243900.0}, {'date': Timestamp('2025-04-01 00:00:00'), 'volume': 4581700.0}, {'date': Timestamp('2023-06-01 00:00:00'), 'volume': 5603800.0}, {'date': Timestamp('2023-05-01 00:00:00'), 'volume': 4344100.0}, {'date': Timestamp('2023-03-01 00:00:00'), 'volume': 6527100.0}, {'date': Timestamp('2022-06-01 00:00:00'), 'volume': 4416400.0}, {'date': Timestamp('2021-06-01 00:00:00'), 'volume': 6022700.0}, {'date': Timestamp('2021-03-01 00:00:00'), 'volume': 5218000.0}, {'date': Timestamp('2020-12-01 00:00:00'), 'volume': 4163900.0}, {'date': Timestamp('2020-11-01 00:00:00'), 'volume': 4135700.0}, {'date': Timestamp('2020-10-01 00:00:00'), 'volume': 4829500.0}, {'date': Timestamp('2020-09-01 00:00:00'), 'volume': 4882400.0}, {'date': Timestamp('2020-06-01 00:00:00'), 'volume': 5064300.0}, {'date': Timestamp('2020-04-01 00:00:00'), 'volume': 4856300.0}, {'date': Timestamp('2020-03-01 00:00:00'), 'volume': 7761100.0}]",2026-08-01,66127939.0,11.789999961853027,1.0,81
FA,3056790242.695704,monthly,2026-08-01,38023052.0,0,20,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 38023052.0}, {'date': Timestamp('2026-05-01 00:00:00'), 'volume': 19073622.0}, {'date': Timestamp('2026-04-01 00:00:00'), 'volume': 21084900.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 29312500.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 18087300.0}, {'date': Timestamp('2025-10-01 00:00:00'), 'volume': 16954300.0}, {'date': Timestamp('2025-09-01 00:00:00'), 'volume': 17898700.0}, {'date': Timestamp('2025-08-01 00:00:00'), 'volume': 17554100.0}, {'date': Timestamp('2025-07-01 00:00:00'), 'volume': 17583600.0}, {'date': Timestamp('2025-06-01 00:00:00'), 'volume': 24981500.0}, {'date': Timestamp('2025-05-01 00:00:00'), 'volume': 25391400.0}, {'date': Timestamp('2025-04-01 00:00:00'), 'volume': 31696700.0}, {'date': Timestamp('2025-03-01 00:00:00'), 'volume': 27464300.0}, {'date': Timestamp('2025-02-01 00:00:00'), 'volume': 17667500.0}, {'date': Timestamp('2024-12-01 00:00:00'), 'volume': 18754600.0}, {'date': Timestamp('2024-11-01 00:00:00'), 'volume': 27359200.0}, {'date': Timestamp('2024-10-01 00:00:00'), 'volume': 15686100.0}, {'date': Timestamp('2022-11-01 00:00:00'), 'volume': 16012100.0}, {'date': Timestamp('2021-11-01 00:00:00'), 'volume': 28529600.0}, {'date': Timestamp('2021-09-01 00:00:00'), 'volume': 16478100.0}]",2026-08-01,38023052.0,21.57999992370605,1.0,65
RNW,2254383196.4740973,monthly,2026-08-01,45299093.0,0,20,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 45299093.0}, {'date': Timestamp('2025-12-01 00:00:00'), 'volume': 42944300.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 21288200.0}, {'date': Timestamp('2025-10-01 00:00:00'), 'volume': 33369000.0}, {'date': Timestamp('2025-07-01 00:00:00'), 'volume': 27746600.0}, {'date': Timestamp('2025-02-01 00:00:00'), 'volume': 21058400.0}, {'date': Timestamp('2025-01-01 00:00:00'), 'volume': 26375900.0}, {'date': Timestamp('2024-12-01 00:00:00'), 'volume': 32207200.0}, {'date': Timestamp('2024-10-01 00:00:00'), 'volume': 21109200.0}, {'date': Timestamp('2024-07-01 00:00:00'), 'volume': 26012500.0}, {'date': Timestamp('2024-06-01 00:00:00'), 'volume': 22645900.0}, {'date': Timestamp('2024-05-01 00:00:00'), 'volume': 33199100.0}, {'date': Timestamp('2023-03-01 00:00:00'), 'volume': 30636400.0}, {'date': Timestamp('2023-02-01 00:00:00'), 'volume': 21979900.0}, {'date': Timestamp('2022-11-01 00:00:00'), 'volume': 23236100.0}, {'date': Timestamp('2022-10-01 00:00:00'), 'volume': 29411900.0}, {'date': Timestamp('2022-03-01 00:00:00'), 'volume': 36494500.0}, {'date': Timestamp('2021-11-01 00:00:00'), 'volume': 21206500.0}, {'date': Timestamp('2021-10-01 00:00:00'), 'volume': 31746700.0}, {'date': Timestamp('2021-02-01 00:00:00'), 'volume': 30794900.0}]",2026-08-01,45299093.0,6.809999942779541,1.0,69
LMAT,2185901654.7835617,monthly,2026-08-01,6523916.0,0,20,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 6523916.0}, {'date': Timestamp('2026-05-01 00:00:00'), 'volume': 4582602.0}, {'date': Timestamp('2026-04-01 00:00:00'), 'volume': 3487200.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 6022400.0}, {'date': Timestamp('2025-12-01 00:00:00'), 'volume': 3956600.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 3714600.0}, {'date': Timestamp('2025-09-01 00:00:00'), 'volume': 3933500.0}, {'date': Timestamp('2025-08-01 00:00:00'), 'volume': 4565900.0}, {'date': Timestamp('2025-05-01 00:00:00'), 'volume': 4721400.0}, {'date': Timestamp('2025-04-01 00:00:00'), 'volume': 4022300.0}, {'date': Timestamp('2025-03-01 00:00:00'), 'volume': 5934200.0}, {'date': Timestamp('2025-02-01 00:00:00'), 'volume': 3837700.0}, {'date': Timestamp('2024-12-01 00:00:00'), 'volume': 4459100.0}, {'date': Timestamp('2023-10-01 00:00:00'), 'volume': 3881300.0}, {'date': Timestamp('2022-04-01 00:00:00'), 'volume': 3623800.0}, {'date': Timestamp('2021-07-01 00:00:00'), 'volume': 3513400.0}, {'date': Timestamp('2021-06-01 00:00:00'), 'volume': 3742000.0}, {'date': Timestamp('2021-03-01 00:00:00'), 'volume': 3525700.0}, {'date': Timestamp('2020-03-01 00:00:00'), 'volume': 3924900.0}, {'date': Timestamp('2020-02-01 00:00:00'), 'volume': 3501700.0}]",2026-08-01,6523916.0,82.37999725341797,1.0,81
PLBL,2868813795.871324,monthly,2026-07-01,5934869.0,31,15,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 2634168.0}, {'date': Timestamp('2026-07-31 00:00:00'), 'volume': 94021.0}, {'date': Timestamp('2026-07-17 00:00:00'), 'volume': 130869.0}, {'date': Timestamp('2026-07-01 00:00:00'), 'volume': 5934869.0}, {'date': Timestamp('2026-06-01 00:00:00'), 'volume': 123738.0}, {'date': Timestamp('2026-05-01 00:00:00'), 'volume': 79814.0}, {'date': Timestamp('2026-04-01 00:00:00'), 'volume': 249500.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 70300.0}, {'date': Timestamp('2026-02-01 00:00:00'), 'volume': 49600.0}, {'date': Timestamp('2026-01-01 00:00:00'), 'volume': 177000.0}, {'date': Timestamp('2025-12-01 00:00:00'), 'volume': 48700.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 104300.0}, {'date': Timestamp('2025-10-01 00:00:00'), 'volume': 757400.0}, {'date': Timestamp('2025-09-01 00:00:00'), 'volume': 624400.0}, {'date': Timestamp('2025-08-01 00:00:00'), 'volume': 1143200.0}]",2026-08-01,2634168.0,7.159999847412109,0.4438460225491076,15
