ticker,market_cap,timeframe,hvd_date,hvd_volume,days_since_hvd,hvd_count,all_hvd_details,latest_date,latest_volume,latest_close,volume_ratio,data_points
HTFL,3074485529.9814177,weekly,2026-08-10,23672458.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 23672458.0}, {'date': Timestamp('2026-07-27 00:00:00'), 'volume': 6410585.0}, {'date': Timestamp('2026-07-06 00:00:00'), 'volume': 6222900.0}, {'date': Timestamp('2026-06-29 00:00:00'), 'volume': 8733400.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 18461200.0}, {'date': Timestamp('2026-06-15 00:00:00'), 'volume': 6198600.0}, {'date': Timestamp('2026-06-08 00:00:00'), 'volume': 6236800.0}, {'date': Timestamp('2026-05-11 00:00:00'), 'volume': 6445900.0}, {'date': Timestamp('2026-04-27 00:00:00'), 'volume': 6124900.0}, {'date': Timestamp('2026-04-20 00:00:00'), 'volume': 5583600.0}, {'date': Timestamp('2026-03-30 00:00:00'), 'volume': 6901300.0}, {'date': Timestamp('2026-03-23 00:00:00'), 'volume': 8282300.0}, {'date': Timestamp('2026-03-16 00:00:00'), 'volume': 12563000.0}, {'date': Timestamp('2026-03-09 00:00:00'), 'volume': 6030600.0}, {'date': Timestamp('2026-02-23 00:00:00'), 'volume': 5635500.0}, {'date': Timestamp('2026-02-16 00:00:00'), 'volume': 6947200.0}, {'date': Timestamp('2026-02-09 00:00:00'), 'volume': 9457400.0}, {'date': Timestamp('2026-02-02 00:00:00'), 'volume': 15686100.0}, {'date': Timestamp('2025-12-15 00:00:00'), 'volume': 6724300.0}, {'date': Timestamp('2025-08-11 00:00:00'), 'volume': 5842600.0}]",2026-08-10,23672458.0,42.08000183105469,1.0,53
BIRK,8169107575.122192,weekly,2026-08-10,39881130.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 39881130.0}, {'date': Timestamp('2026-06-08 00:00:00'), 'volume': 12830000.0}, {'date': Timestamp('2026-05-18 00:00:00'), 'volume': 17195200.0}, {'date': Timestamp('2026-05-11 00:00:00'), 'volume': 22379500.0}, {'date': Timestamp('2026-04-13 00:00:00'), 'volume': 13144100.0}, {'date': Timestamp('2026-03-16 00:00:00'), 'volume': 13970500.0}, {'date': Timestamp('2026-02-23 00:00:00'), 'volume': 13750000.0}, {'date': Timestamp('2026-01-26 00:00:00'), 'volume': 13191400.0}, {'date': Timestamp('2026-01-12 00:00:00'), 'volume': 16901100.0}, {'date': Timestamp('2026-01-05 00:00:00'), 'volume': 14068100.0}, {'date': Timestamp('2025-12-15 00:00:00'), 'volume': 26392600.0}, {'date': Timestamp('2025-09-29 00:00:00'), 'volume': 13499500.0}, {'date': Timestamp('2025-09-22 00:00:00'), 'volume': 14524500.0}, {'date': Timestamp('2025-08-11 00:00:00'), 'volume': 16012600.0}, {'date': Timestamp('2025-05-26 00:00:00'), 'volume': 14647400.0}, {'date': Timestamp('2025-05-12 00:00:00'), 'volume': 17136400.0}, {'date': Timestamp('2025-04-07 00:00:00'), 'volume': 14966800.0}, {'date': Timestamp('2024-12-16 00:00:00'), 'volume': 14928000.0}, {'date': Timestamp('2024-08-26 00:00:00'), 'volume': 14364300.0}, {'date': Timestamp('2023-10-09 00:00:00'), 'volume': 27880100.0}]",2026-08-10,39881130.0,39.34999847412109,1.0,149
BTDR,4172828921.1866975,weekly,2026-08-10,107870341.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 107870341.0}, {'date': Timestamp('2026-08-03 00:00:00'), 'volume': 66725200.0}, {'date': Timestamp('2026-07-27 00:00:00'), 'volume': 81531825.0}, {'date': Timestamp('2026-07-06 00:00:00'), 'volume': 50450600.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 53653500.0}, {'date': Timestamp('2026-06-08 00:00:00'), 'volume': 56177500.0}, {'date': Timestamp('2026-06-01 00:00:00'), 'volume': 59647100.0}, {'date': Timestamp('2026-05-25 00:00:00'), 'volume': 63265500.0}, {'date': Timestamp('2026-03-16 00:00:00'), 'volume': 50520600.0}, {'date': Timestamp('2026-02-23 00:00:00'), 'volume': 43524900.0}, {'date': Timestamp('2026-02-16 00:00:00'), 'volume': 94234800.0}, {'date': Timestamp('2026-01-12 00:00:00'), 'volume': 44073300.0}, {'date': Timestamp('2025-11-17 00:00:00'), 'volume': 49431700.0}, {'date': Timestamp('2025-11-10 00:00:00'), 'volume': 82684200.0}, {'date': Timestamp('2025-10-13 00:00:00'), 'volume': 73886500.0}, {'date': Timestamp('2025-02-24 00:00:00'), 'volume': 58945500.0}, {'date': Timestamp('2024-12-16 00:00:00'), 'volume': 59893800.0}, {'date': Timestamp('2024-12-09 00:00:00'), 'volume': 62529400.0}, {'date': Timestamp('2024-12-02 00:00:00'), 'volume': 60046000.0}, {'date': Timestamp('2024-11-18 00:00:00'), 'volume': 44083000.0}]",2026-08-10,107870341.0,9.130000114440918,1.0,264
RNW,2254383196.4740973,weekly,2026-08-10,40902093.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 40902093.0}, {'date': Timestamp('2026-07-27 00:00:00'), 'volume': 7998762.0}, {'date': Timestamp('2026-07-13 00:00:00'), 'volume': 8355700.0}, {'date': Timestamp('2026-06-15 00:00:00'), 'volume': 9478700.0}, {'date': Timestamp('2026-05-25 00:00:00'), 'volume': 8328400.0}, {'date': Timestamp('2025-12-15 00:00:00'), 'volume': 27548300.0}, {'date': Timestamp('2025-10-27 00:00:00'), 'volume': 13631600.0}, {'date': Timestamp('2025-10-13 00:00:00'), 'volume': 9004400.0}, {'date': Timestamp('2025-06-30 00:00:00'), 'volume': 8828100.0}, {'date': Timestamp('2024-12-16 00:00:00'), 'volume': 10285000.0}, {'date': Timestamp('2024-12-09 00:00:00'), 'volume': 14138600.0}, {'date': Timestamp('2024-07-08 00:00:00'), 'volume': 8207800.0}, {'date': Timestamp('2024-05-13 00:00:00'), 'volume': 24183600.0}, {'date': Timestamp('2023-03-13 00:00:00'), 'volume': 7970600.0}, {'date': Timestamp('2022-10-24 00:00:00'), 'volume': 11001900.0}, {'date': Timestamp('2022-10-17 00:00:00'), 'volume': 10492000.0}, {'date': Timestamp('2022-03-14 00:00:00'), 'volume': 13095700.0}, {'date': Timestamp('2022-02-28 00:00:00'), 'volume': 8015400.0}, {'date': Timestamp('2021-10-04 00:00:00'), 'volume': 15727900.0}, {'date': Timestamp('2021-02-22 00:00:00'), 'volume': 25728000.0}]",2026-08-10,40902093.0,6.809999942779541,1.0,289
HUBG,2675466096.3838267,weekly,2026-08-10,14430079.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 14430079.0}, {'date': Timestamp('2026-07-27 00:00:00'), 'volume': 5260775.0}, {'date': Timestamp('2026-05-11 00:00:00'), 'volume': 5799100.0}, {'date': Timestamp('2026-03-16 00:00:00'), 'volume': 5429900.0}, {'date': Timestamp('2026-03-02 00:00:00'), 'volume': 4965100.0}, {'date': Timestamp('2026-02-09 00:00:00'), 'volume': 8524500.0}, {'date': Timestamp('2026-01-31 00:00:00'), 'volume': 10896400.0}, {'date': Timestamp('2025-12-13 00:00:00'), 'volume': 6076000.0}, {'date': Timestamp('2025-12-06 00:00:00'), 'volume': 5027500.0}, {'date': Timestamp('2025-09-13 00:00:00'), 'volume': 4904600.0}, {'date': Timestamp('2025-08-23 00:00:00'), 'volume': 4963700.0}, {'date': Timestamp('2025-05-03 00:00:00'), 'volume': 5318200.0}, {'date': Timestamp('2025-03-15 00:00:00'), 'volume': 6390700.0}, {'date': Timestamp('2024-12-14 00:00:00'), 'volume': 5646500.0}, {'date': Timestamp('2023-10-28 00:00:00'), 'volume': 5292600.0}, {'date': Timestamp('2022-12-10 00:00:00'), 'volume': 5112800.0}, {'date': Timestamp('2022-04-30 00:00:00'), 'volume': 4777600.0}, {'date': Timestamp('2022-04-23 00:00:00'), 'volume': 5189200.0}, {'date': Timestamp('2022-04-02 00:00:00'), 'volume': 6004600.0}, {'date': Timestamp('2020-04-25 00:00:00'), 'volume': 6246000.0}]",2026-08-10,14430079.0,40.29999923706055,1.0,346
ABCL,2253670376.6486487,weekly,2026-08-10,124039185.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 124039185.0}, {'date': Timestamp('2026-07-06 00:00:00'), 'volume': 36963700.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 52015700.0}, {'date': Timestamp('2026-06-01 00:00:00'), 'volume': 35516700.0}, {'date': Timestamp('2026-05-18 00:00:00'), 'volume': 33543000.0}, {'date': Timestamp('2026-05-11 00:00:00'), 'volume': 52587700.0}, {'date': Timestamp('2026-05-04 00:00:00'), 'volume': 53496600.0}, {'date': Timestamp('2026-04-27 00:00:00'), 'volume': 49631400.0}, {'date': Timestamp('2026-02-02 00:00:00'), 'volume': 33912700.0}, {'date': Timestamp('2025-11-03 00:00:00'), 'volume': 33946600.0}, {'date': Timestamp('2025-10-06 00:00:00'), 'volume': 35679100.0}, {'date': Timestamp('2025-09-29 00:00:00'), 'volume': 41047300.0}, {'date': Timestamp('2025-07-21 00:00:00'), 'volume': 41346500.0}, {'date': Timestamp('2025-07-14 00:00:00'), 'volume': 39412500.0}, {'date': Timestamp('2025-06-23 00:00:00'), 'volume': 34383200.0}, {'date': Timestamp('2025-06-09 00:00:00'), 'volume': 58606400.0}, {'date': Timestamp('2025-05-12 00:00:00'), 'volume': 34479200.0}, {'date': Timestamp('2023-06-19 00:00:00'), 'volume': 41076800.0}, {'date': Timestamp('2022-06-20 00:00:00'), 'volume': 37670700.0}, {'date': Timestamp('2021-09-13 00:00:00'), 'volume': 33237800.0}]",2026-08-10,124039185.0,11.380000114440918,1.0,297
DIOD,4784684510.915369,weekly,2026-08-10,7172905.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 7172905.0}, {'date': Timestamp('2026-07-27 00:00:00'), 'volume': 3283483.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 5432400.0}, {'date': Timestamp('2026-05-25 00:00:00'), 'volume': 4063500.0}, {'date': Timestamp('2026-05-11 00:00:00'), 'volume': 3867800.0}, {'date': Timestamp('2026-05-04 00:00:00'), 'volume': 4156500.0}, {'date': Timestamp('2026-04-27 00:00:00'), 'volume': 3134300.0}, {'date': Timestamp('2026-04-20 00:00:00'), 'volume': 3333900.0}, {'date': Timestamp('2026-02-09 00:00:00'), 'volume': 3670500.0}, {'date': Timestamp('2025-11-29 00:00:00'), 'volume': 3330700.0}, {'date': Timestamp('2025-09-13 00:00:00'), 'volume': 3124200.0}, {'date': Timestamp('2025-06-21 00:00:00'), 'volume': 3056600.0}, {'date': Timestamp('2025-05-10 00:00:00'), 'volume': 3069500.0}, {'date': Timestamp('2025-04-05 00:00:00'), 'volume': 4321200.0}, {'date': Timestamp('2025-03-15 00:00:00'), 'volume': 4477000.0}, {'date': Timestamp('2025-03-08 00:00:00'), 'volume': 3991000.0}, {'date': Timestamp('2025-02-08 00:00:00'), 'volume': 3715000.0}, {'date': Timestamp('2024-12-14 00:00:00'), 'volume': 3017000.0}, {'date': Timestamp('2024-08-03 00:00:00'), 'volume': 5067800.0}, {'date': Timestamp('2021-03-13 00:00:00'), 'volume': 3564000.0}]",2026-08-10,7172905.0,103.4800033569336,1.0,346
FA,3056790242.695704,weekly,2026-08-10,27105652.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 27105652.0}, {'date': Timestamp('2026-08-03 00:00:00'), 'volume': 10917400.0}, {'date': Timestamp('2026-07-27 00:00:00'), 'volume': 11329802.0}, {'date': Timestamp('2026-07-13 00:00:00'), 'volume': 9057800.0}, {'date': Timestamp('2026-07-06 00:00:00'), 'volume': 7527000.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 9435000.0}, {'date': Timestamp('2026-06-15 00:00:00'), 'volume': 21439500.0}, {'date': Timestamp('2026-05-04 00:00:00'), 'volume': 8579000.0}, {'date': Timestamp('2026-03-16 00:00:00'), 'volume': 7916700.0}, {'date': Timestamp('2026-03-02 00:00:00'), 'volume': 7909300.0}, {'date': Timestamp('2026-02-23 00:00:00'), 'volume': 12268500.0}, {'date': Timestamp('2025-06-23 00:00:00'), 'volume': 10436100.0}, {'date': Timestamp('2025-04-07 00:00:00'), 'volume': 8126500.0}, {'date': Timestamp('2025-03-31 00:00:00'), 'volume': 11798500.0}, {'date': Timestamp('2025-03-03 00:00:00'), 'volume': 9605200.0}, {'date': Timestamp('2025-02-24 00:00:00'), 'volume': 7938400.0}, {'date': Timestamp('2024-11-11 00:00:00'), 'volume': 7836500.0}, {'date': Timestamp('2024-11-04 00:00:00'), 'volume': 8843900.0}, {'date': Timestamp('2021-11-08 00:00:00'), 'volume': 13805500.0}, {'date': Timestamp('2021-06-21 00:00:00'), 'volume': 10760900.0}]",2026-08-10,27105652.0,21.57999992370605,1.0,269
CLBT,3432291945.425178,weekly,2026-08-10,58292165.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 58292165.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 10516200.0}, {'date': Timestamp('2026-05-11 00:00:00'), 'volume': 16260300.0}, {'date': Timestamp('2026-04-06 00:00:00'), 'volume': 10358300.0}, {'date': Timestamp('2026-03-30 00:00:00'), 'volume': 11177600.0}, {'date': Timestamp('2026-02-23 00:00:00'), 'volume': 13749000.0}, {'date': Timestamp('2026-02-09 00:00:00'), 'volume': 11569000.0}, {'date': Timestamp('2026-02-02 00:00:00'), 'volume': 12790100.0}, {'date': Timestamp('2025-11-10 00:00:00'), 'volume': 10908600.0}, {'date': Timestamp('2025-09-08 00:00:00'), 'volume': 10172800.0}, {'date': Timestamp('2025-08-18 00:00:00'), 'volume': 10342100.0}, {'date': Timestamp('2025-08-11 00:00:00'), 'volume': 22970500.0}, {'date': Timestamp('2025-05-12 00:00:00'), 'volume': 11332300.0}, {'date': Timestamp('2025-02-24 00:00:00'), 'volume': 14712000.0}, {'date': Timestamp('2025-02-17 00:00:00'), 'volume': 13913300.0}, {'date': Timestamp('2025-02-10 00:00:00'), 'volume': 14280500.0}, {'date': Timestamp('2025-02-03 00:00:00'), 'volume': 11673100.0}, {'date': Timestamp('2024-11-04 00:00:00'), 'volume': 10754500.0}, {'date': Timestamp('2024-08-12 00:00:00'), 'volume': 14209500.0}, {'date': Timestamp('2024-07-15 00:00:00'), 'volume': 10953300.0}]",2026-08-10,58292165.0,11.140000343322754,1.0,302
LMAT,2185901654.7835617,weekly,2026-08-03,3975600.0,7,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 2548316.0}, {'date': Timestamp('2026-08-03 00:00:00'), 'volume': 3975600.0}, {'date': Timestamp('2026-07-27 00:00:00'), 'volume': 1566562.0}, {'date': Timestamp('2026-07-06 00:00:00'), 'volume': 1530600.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 2232100.0}, {'date': Timestamp('2026-06-15 00:00:00'), 'volume': 1391700.0}, {'date': Timestamp('2026-06-08 00:00:00'), 'volume': 1743600.0}, {'date': Timestamp('2026-05-25 00:00:00'), 'volume': 1453500.0}, {'date': Timestamp('2026-05-11 00:00:00'), 'volume': 1832600.0}, {'date': Timestamp('2026-05-04 00:00:00'), 'volume': 1379500.0}, {'date': Timestamp('2026-03-23 00:00:00'), 'volume': 1388200.0}, {'date': Timestamp('2026-03-16 00:00:00'), 'volume': 1880500.0}, {'date': Timestamp('2026-02-23 00:00:00'), 'volume': 2379600.0}, {'date': Timestamp('2025-09-15 00:00:00'), 'volume': 1429400.0}, {'date': Timestamp('2025-03-17 00:00:00'), 'volume': 2032000.0}, {'date': Timestamp('2025-03-03 00:00:00'), 'volume': 1892000.0}, {'date': Timestamp('2024-12-16 00:00:00'), 'volume': 2382300.0}, {'date': Timestamp('2024-02-26 00:00:00'), 'volume': 1486800.0}, {'date': Timestamp('2021-07-12 00:00:00'), 'volume': 1440000.0}, {'date': Timestamp('2021-06-21 00:00:00'), 'volume': 1402200.0}]",2026-08-10,2548316.0,82.37999725341797,0.6409890331019217,345
